CDO_jnj_global_prod - d4614a6f-c912-456a-89a6-dd3250a6ee0e,Processing Time UTC,Time Interval,Event Count,dummy
s1,2025-08-25 08:30,0.00s,80031,s1
s2,2025-08-25 08:30,3.00s,77460,s2
s3,2025-08-25 08:30,0.00s,81296,s3
s4,2025-08-25 08:30,0.00s,79739,s4
s5,2025-08-25 08:30,0.00s,79139,s5
s6,2025-08-25 08:30,1.00s,78367,s6
s7,2025-08-25 08:30,5.00s,18166,s7
s8,2025-08-25 08:30,0.00s,214214,s8
s9,2025-08-25 08:30,3.00s,196536,s9
s10,2025-08-25 08:30,0.00s,185022,s10
s11,2025-08-25 08:30,0.00s,191322,s11
s12,2025-08-25 08:30,0.00s,185699,s12
s13,2025-08-25 08:30,0.00s,197592,s13
s14,2025-08-25 08:30,1.00s,199815,s14
s15,2025-08-25 08:30,3.00s,20351,s15
s16,2025-08-25 08:30,1.00s,177235,s16
s17,2025-08-25 08:30,29.00s,35797,s17
s18,2025-08-25 08:29,1.00s,201127,s18
s19,2025-08-25 08:29,1.00s,188413,s19
s20,2025-08-25 08:29,0.00s,194274,s20
s21,2025-08-25 08:29,0.00s,208437,s21
s22,2025-08-25 08:29,0.00s,179714,s22
s23,2025-08-25 08:29,0.00s,175131,s23
s24,2025-08-25 08:29,1.00s,190098,s24
s25,2025-08-25 08:29,14.00s,97697,s25
s26,2025-08-25 08:29,0.00s,79781,s26
s27,2025-08-25 08:29,0.00s,80794,s27
s28,2025-08-25 08:29,0.00s,78060,s28
s29,2025-08-25 08:29,0.00s,80252,s29
s30,2025-08-25 08:29,0.00s,76969,s30
s31,2025-08-25 08:29,2.00s,81739,s31
s32,2025-08-25 08:29,13.00s,19701,s32
s33,2025-08-25 08:29,0.00s,185892,s33
s34,2025-08-25 08:29,0.00s,194376,s34
s35,2025-08-25 08:29,0.00s,194079,s35
s36,2025-08-25 08:29,0.00s,208557,s36
s37,2025-08-25 08:29,0.00s,197938,s37
s38,2025-08-25 08:29,0.00s,199358,s38
s39,2025-08-25 08:29,1.00s,195669,s39
s40,2025-08-25 08:29,2.00s,51698,s40
s41,2025-08-25 08:28,1.00s,167843,s41
s42,2025-08-25 08:28,21.00s,87347,s42
s43,2025-08-25 08:28,0.00s,184185,s43
s44,2025-08-25 08:28,0.00s,178500,s44
s45,2025-08-25 08:28,0.00s,190882,s45
s46,2025-08-25 08:28,0.00s,199626,s46
s47,2025-08-25 08:28,1.00s,181042,s47
s48,2025-08-25 08:28,0.00s,193355,s48
s49,2025-08-25 08:28,0.00s,79042,s49
s50,2025-08-25 08:28,19.00s,185360,s50
s51,2025-08-25 08:28,0.00s,80106,s51
s52,2025-08-25 08:28,1.00s,77766,s52
s53,2025-08-25 08:28,0.00s,80985,s53
s54,2025-08-25 08:28,0.00s,82545,s54
s55,2025-08-25 08:28,0.00s,78606,s55
s56,2025-08-25 08:28,1.00s,80446,s56
s57,2025-08-25 08:28,2.00s,33670,s57
s58,2025-08-25 08:28,1.00s,195788,s58
s59,2025-08-25 08:28,1.00s,180331,s59
s60,2025-08-25 08:28,0.00s,172638,s60
s61,2025-08-25 08:28,0.00s,191200,s61
s62,2025-08-25 08:28,0.00s,187877,s62
s63,2025-08-25 08:28,0.00s,188091,s63
s64,2025-08-25 08:28,1.00s,178722,s64
s65,2025-08-25 08:28,11.00s,13386,s65
s66,2025-08-25 08:27,2.00s,177296,s66
s67,2025-08-25 08:27,20.00s,15302,s67
s68,2025-08-25 08:27,0.00s,188965,s68
s69,2025-08-25 08:27,1.00s,190935,s69
s70,2025-08-25 08:27,0.00s,156962,s70
s71,2025-08-25 08:27,0.00s,197268,s71
s72,2025-08-25 08:27,0.00s,188850,s72
s73,2025-08-25 08:27,14.00s,192336,s73
s74,2025-08-25 08:27,0.00s,1,s74
s75,2025-08-25 08:27,0.00s,1,s75
s76,2025-08-25 08:27,0.00s,3,s76
s77,2025-08-25 08:27,0.00s,3,s77
s78,2025-08-25 08:27,0.00s,3,s78
s79,2025-08-25 08:27,0.00s,18,s79
s80,2025-08-25 08:27,0.00s,17,s80
s81,2025-08-25 08:27,0.00s,21,s81
s82,2025-08-25 08:27,0.00s,240,s82
s83,2025-08-25 08:27,0.00s,6320,s83
s84,2025-08-25 08:27,1.00s,6762,s84
s85,2025-08-25 08:27,0.00s,1,s85
s86,2025-08-25 08:27,0.00s,2,s86
s87,2025-08-25 08:27,0.00s,1,s87
s88,2025-08-25 08:27,0.00s,8,s88
s89,2025-08-25 08:27,0.00s,4,s89
s90,2025-08-25 08:27,0.00s,1,s90
s91,2025-08-25 08:27,0.00s,1,s91
s92,2025-08-25 08:27,0.00s,1,s92
s93,2025-08-25 08:27,0.00s,13,s93
s94,2025-08-25 08:27,0.00s,18,s94
s95,2025-08-25 08:27,0.00s,4,s95
s96,2025-08-25 08:27,0.00s,23,s96
s97,2025-08-25 08:27,0.00s,19,s97
s98,2025-08-25 08:27,0.00s,17,s98
s99,2025-08-25 08:27,0.00s,26,s99
s100,2025-08-25 08:27,0.00s,38,s100
s101,2025-08-25 08:27,0.00s,26,s101
s102,2025-08-25 08:27,0.00s,64,s102
s103,2025-08-25 08:27,0.00s,21,s103
s104,2025-08-25 08:27,0.00s,544,s104
s105,2025-08-25 08:27,0.00s,291,s105
s106,2025-08-25 08:27,0.00s,400,s106
s107,2025-08-25 08:27,0.00s,311,s107
s108,2025-08-25 08:27,0.00s,439,s108
s109,2025-08-25 08:27,0.00s,143,s109
s110,2025-08-25 08:27,0.00s,164,s110
s111,2025-08-25 08:27,0.00s,98,s111
s112,2025-08-25 08:27,0.00s,124,s112
s113,2025-08-25 08:27,0.00s,4528,s113
s114,2025-08-25 08:27,0.00s,882,s114
s115,2025-08-25 08:27,0.00s,108,s115
s116,2025-08-25 08:27,0.00s,102,s116
s117,2025-08-25 08:27,0.00s,179,s117
s118,2025-08-25 08:27,0.00s,188,s118
s119,2025-08-25 08:27,0.00s,194,s119
s120,2025-08-25 08:27,0.00s,225,s120
s121,2025-08-25 08:27,1.00s,82026,s121
s122,2025-08-25 08:27,0.00s,2,s122
s123,2025-08-25 08:27,1.00s,70,s123
s124,2025-08-25 08:27,0.00s,3,s124
s125,2025-08-25 08:27,0.00s,41,s125
s126,2025-08-25 08:27,0.00s,289,s126
s127,2025-08-25 08:27,0.00s,71,s127
s128,2025-08-25 08:27,0.00s,503,s128
s129,2025-08-25 08:27,0.00s,2976,s129
s130,2025-08-25 08:27,1.00s,3376,s130
s131,2025-08-25 08:27,0.00s,66,s131
s132,2025-08-25 08:27,0.00s,1,s132
s133,2025-08-25 08:27,0.00s,1,s133
s134,2025-08-25 08:27,0.00s,2,s134
s135,2025-08-25 08:27,0.00s,3,s135
s136,2025-08-25 08:27,0.00s,1,s136
s137,2025-08-25 08:27,0.00s,1,s137
s138,2025-08-25 08:27,0.00s,3,s138
s139,2025-08-25 08:27,0.00s,1153,s139
s140,2025-08-25 08:27,0.00s,19,s140
s141,2025-08-25 08:27,0.00s,16,s141
s142,2025-08-25 08:27,0.00s,15,s142
s143,2025-08-25 08:27,0.00s,23,s143
s144,2025-08-25 08:27,0.00s,14,s144
s145,2025-08-25 08:27,0.00s,17,s145
s146,2025-08-25 08:27,0.00s,29,s146
s147,2025-08-25 08:27,0.00s,31,s147
s148,2025-08-25 08:27,0.00s,788,s148
s149,2025-08-25 08:27,1.00s,500,s149
s150,2025-08-25 08:27,0.00s,81066,s150
s151,2025-08-25 08:27,0.00s,81699,s151
s152,2025-08-25 08:27,0.00s,79952,s152
s153,2025-08-25 08:27,0.00s,80832,s153
s154,2025-08-25 08:27,1.00s,77478,s154
s155,2025-08-25 08:27,4.00s,50529,s155
s156,2025-08-25 08:27,0.00s,174220,s156
s157,2025-08-25 08:27,1.00s,202110,s157
s158,2025-08-25 08:27,0.00s,181945,s158
s159,2025-08-25 08:27,0.00s,187783,s159
s160,2025-08-25 08:27,0.00s,163258,s160
s161,2025-08-25 08:27,0.00s,183431,s161
s162,2025-08-25 08:27,1.00s,181692,s162
s163,2025-08-25 08:27,18.00s,78495,s163
s164,2025-08-25 08:26,2.00s,174514,s164
s165,2025-08-25 08:26,9.00s,21864,s165
s166,2025-08-25 08:26,0.00s,190731,s166
s167,2025-08-25 08:26,0.00s,189638,s167
s168,2025-08-25 08:26,0.00s,181031,s168
s169,2025-08-25 08:26,0.00s,188793,s169
s170,2025-08-25 08:26,0.00s,186148,s170
s171,2025-08-25 08:26,0.00s,192138,s171
s172,2025-08-25 08:26,1.00s,188052,s172
s173,2025-08-25 08:26,20.00s,53951,s173
s174,2025-08-25 08:26,0.00s,84224,s174
s175,2025-08-25 08:26,0.00s,80480,s175
s176,2025-08-25 08:26,0.00s,79970,s176
s177,2025-08-25 08:26,0.00s,81110,s177
s178,2025-08-25 08:26,1.00s,79112,s178
s179,2025-08-25 08:26,0.00s,43437,s179
s180,2025-08-25 08:26,12.00s,81467,s180
s181,2025-08-25 08:26,1.00s,191187,s181
s182,2025-08-25 08:26,0.00s,160574,s182
s183,2025-08-25 08:26,0.00s,195335,s183
s184,2025-08-25 08:26,0.00s,170013,s184
s185,2025-08-25 08:26,0.00s,187250,s185
s186,2025-08-25 08:26,0.00s,190672,s186
s187,2025-08-25 08:26,1.00s,173738,s187
s188,2025-08-25 08:26,4.00s,95230,s188
s189,2025-08-25 08:26,2.00s,172339,s189
s190,2025-08-25 08:25,20.00s,17226,s190
s191,2025-08-25 08:25,3.00s,183923,s191
s192,2025-08-25 08:25,1.00s,190141,s192
s193,2025-08-25 08:25,0.00s,184718,s193
s194,2025-08-25 08:25,0.00s,181146,s194
s195,2025-08-25 08:25,0.00s,200825,s195
s196,2025-08-25 08:25,0.00s,195988,s196
s197,2025-08-25 08:25,1.00s,190828,s197
s198,2025-08-25 08:25,9.00s,65745,s198
s199,2025-08-25 08:25,0.00s,78946,s199
s200,2025-08-25 08:25,0.00s,77718,s200
s201,2025-08-25 08:25,0.00s,51144,s201
s202,2025-08-25 08:25,0.00s,80459,s202
s203,2025-08-25 08:25,0.00s,82118,s203
s204,2025-08-25 08:25,0.00s,79949,s204
s205,2025-08-25 08:25,6.00s,80025,s205
s206,2025-08-25 08:25,3.00s,174191,s206
s207,2025-08-25 08:25,0.00s,192032,s207
s208,2025-08-25 08:25,0.00s,128872,s208
s209,2025-08-25 08:25,0.00s,179064,s209
s210,2025-08-25 08:25,0.00s,184611,s210
s211,2025-08-25 08:25,0.00s,188065,s211
s212,2025-08-25 08:25,0.00s,180768,s212
s213,2025-08-25 08:25,11.00s,171720,s213
s214,2025-08-25 08:25,1.00s,170291,s214
s215,2025-08-25 08:25,27.00s,37446,s215
s216,2025-08-25 08:24,3.00s,90142,s216
s217,2025-08-25 08:24,0.00s,188703,s217
s218,2025-08-25 08:24,0.00s,193413,s218
s219,2025-08-25 08:24,0.00s,183780,s219
s220,2025-08-25 08:24,0.00s,187978,s220
s221,2025-08-25 08:24,0.00s,186205,s221
s222,2025-08-25 08:24,0.00s,194421,s222
s223,2025-08-25 08:24,1.00s,188539,s223
s224,2025-08-25 08:24,3.00s,78594,s224
s225,2025-08-25 08:24,1.00s,77934,s225
s226,2025-08-25 08:24,0.00s,82234,s226
s227,2025-08-25 08:24,0.00s,77526,s227
s228,2025-08-25 08:24,0.00s,78094,s228
s229,2025-08-25 08:24,1.00s,79138,s229
s230,2025-08-25 08:24,10.00s,36827,s230
s231,2025-08-25 08:24,3.00s,167387,s231
s232,2025-08-25 08:24,0.00s,191945,s232
s233,2025-08-25 08:24,0.00s,188705,s233
s234,2025-08-25 08:24,0.00s,182408,s234
s235,2025-08-25 08:24,0.00s,180799,s235
s236,2025-08-25 08:24,0.00s,181609,s236
s237,2025-08-25 08:24,2.00s,194958,s237
s238,2025-08-25 08:24,17.00s,107689,s238
s239,2025-08-25 08:23,0.00s,168162,s239
s240,2025-08-25 08:23,17.00s,44605,s240
s241,2025-08-25 08:23,0.00s,192474,s241
s242,2025-08-25 08:23,0.00s,199321,s242
s243,2025-08-25 08:23,0.00s,185611,s243
s244,2025-08-25 08:23,0.00s,204886,s244
s245,2025-08-25 08:23,0.00s,213385,s245
