CDO_eriks__s84cvj - 0de4e9b8-0724-454c-9c36-1499ab2aa0da,Processing Time UTC,Time Interval,Event Count,,,,,CDO_jnj_global_prod - d4614a6f-c912-456a-89a6-dd3250a6ee0e,Processing Time UTC,Time Interval,Event Count,,,,,CDO_nepi_investment_management_srl__sii96l - 7c216ec6-0040-46f7-a283-93670959b8c6,Processing Time UTC,Time Interval,Event Count,,,,,CDO_netteam__s4f3n5 - fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5,Processing Time UTC,Time Interval,Event Count,,,,,hilton_int_datacenter - 43ffe67c-5e0f-4682-b9c7-3e67f61ab537,Processing Time UTC,Time Interval,Event Count
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/11/01/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-16-22-8e0b0a21-3f81-35a5-987b-815a19fed3ba.json.gz,2025-08-26 07:35:46,1.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/ASA/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-08-4c385563-f4c5-3252-aced-1cb6741bfdd0.json.gz,2025-08-26 07:36:35,0.00s,164623,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-data/2025/08/26/07/FTD/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-compressed-2-2025-08-26-07-34-28-82641ea1-ba20-377b-844e-b4cfaf4eaa61.json.gz,2025-08-26 07:36:02,1.02m,107111,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-data/2025/08/26/07/FTD/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-compressed-1-2025-08-26-07-29-45-fc79346e-632d-3eeb-b82f-127a8393185e.json.gz,2025-08-26 07:37:17,3.00s,434913,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-data/2025/08/20/18/FTD/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-compressed-buffered-1-2025-08-26-07-16-44-e374846f-a0a6-3371-ac7b-b00e38cb0cd2.json.gz,2025-08-26 07:36:05,3.00s,3
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/25/22/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-15-48-5d73cd91-6e07-38eb-b542-036ade640005.json.gz,2025-08-26 07:35:45,4.00s,1270,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-3e679b17-fd26-3de5-a49c-13945e2b68fb.json.gz,2025-08-26 07:36:35,0.00s,193171,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-data/2025/08/26/07/FTD/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-compressed-2-2025-08-26-07-33-04-63108980-2f83-3771-8fb2-20b1a627d0f1.json.gz,2025-08-26 07:35:01,1.15m,106126,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-data/2025/08/26/07/FTD/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-compressed-1-2025-08-26-07-29-45-91d37bdd-5fb2-3f6e-ad32-3d96eb0857b9.json.gz,2025-08-26 07:37:14,1.22m,461162,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-data/2025/08/20/16/FTD/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-compressed-buffered-1-2025-08-26-07-19-07-7f9d1f5f-3f88-3083-a2fe-81620efce98c.json.gz,2025-08-26 07:36:02,0.00s,1
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/25/21/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-15-48-971c2568-3669-3f32-97a4-0b7bd0540f4d.json.gz,2025-08-26 07:35:41,0.00s,1085,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-6961b843-c792-3db0-8c18-a95426c3afc4.json.gz,2025-08-26 07:36:35,3.00s,207445,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-data/2025/08/26/07/FTD/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-compressed-2-2025-08-26-07-32-09-0a52f390-8bea-330a-b48b-7c4593a8cbed.json.gz,2025-08-26 07:33:52,55.00s,106922,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-data/2025/08/20/16/FTD/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-compressed-buffered-1-2025-08-26-07-19-08-38b51774-7186-3e97-97dd-8b0d78ce4d12.json.gz,2025-08-26 07:36:01,1.00s,17,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-data/2025/08/20/19/FTD/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-compressed-buffered-1-2025-08-26-07-18-05-f3ae2ac1-31d9-3c6f-8344-741f935facf3.json.gz,2025-08-26 07:36:02,0.00s,1
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/26/04/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-15-48-044a53bf-636e-3bef-aa50-21c6f4b46975.json.gz,2025-08-26 07:35:41,0.00s,3674,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-1bc0bcf1-a2f5-3667-a20d-68e64b0bb8d7.json.gz,2025-08-26 07:36:32,1.00s,195117,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-data/2025/08/26/07/FTD/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-compressed-2-2025-08-26-07-31-15-794357db-accc-331d-810e-6d06cfe154bd.json.gz,2025-08-26 07:32:57,1.00s,81355,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-data/2025/08/26/05/FTD/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-compressed-buffered-1-2025-08-26-07-16-00-d449135c-eb78-3906-9853-82b1453b7d77.json.gz,2025-08-26 07:36:00,3.00s,2168,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-data/2025/08/20/23/FTD/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-compressed-buffered-1-2025-08-26-07-18-04-478aee31-8d88-37b0-911f-831f63d8b3f8.json.gz,2025-08-26 07:36:02,0.00s,2
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/26/05/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-15-48-e997e776-cbce-3c3f-98be-9b589ec3a2ba.json.gz,2025-08-26 07:35:41,1.00s,9103,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-6b81213c-eae9-3847-b08c-29b5ef0b1b1b.json.gz,2025-08-26 07:36:31,0.00s,212292,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-data/2025/08/26/06/FTD/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-compressed-2-2025-08-26-07-31-15-08d5f96c-a375-329b-9562-5ee714427e0f.json.gz,2025-08-26 07:32:56,1.02m,222,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-data/2025/08/25/13/FTD/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-compressed-buffered-1-2025-08-26-07-18-31-acd057ee-d9e1-3629-93c0-286e5842c19a.json.gz,2025-08-26 07:35:57,3.00s,2,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-data/2025/08/21/07/FTD/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-compressed-buffered-1-2025-08-26-07-16-30-71498349-c20d-3f7e-9360-eea237fcdcb6.json.gz,2025-08-26 07:36:02,0.00s,1
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/25/16/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-16-01-8b5c8a46-5a3a-3f6b-b538-ce3aef84ba5a.json.gz,2025-08-26 07:35:40,1.70m,491,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-a8b80983-a712-36d7-8f8c-31a5de822d12.json.gz,2025-08-26 07:36:31,0.00s,187262,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-data/2025/08/26/07/FTD/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-compressed-2-2025-08-26-07-30-19-4f839a46-7a1b-3360-8fce-b6569b3dc664.json.gz,2025-08-26 07:31:55,3.00s,107645,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-data/2025/04/25/04/FTD/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-compressed-buffered-1-2025-08-26-07-19-08-e01701fc-dd28-3a98-8bd7-1b187f73f239.json.gz,2025-08-26 07:35:54,0.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-data/2025/08/21/08/FTD/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-compressed-buffered-1-2025-08-26-07-17-44-f857c264-935c-3252-a369-41e37139f443.json.gz,2025-08-26 07:36:02,0.00s,1
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/26/06/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-1-2025-08-26-07-27-08-72529c84-4ac0-3cc7-9fc9-0285beaf959e.json.gz,2025-08-26 07:33:58,1.98m,9288,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-d500aabe-c951-3ef0-b4ba-30d32e786464.json.gz,2025-08-26 07:36:31,1.00s,183907,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-data/2025/08/26/06/FTD/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-compressed-2-2025-08-26-07-30-19-1be6e24e-0e90-3d9b-a309-8a8427e71633.json.gz,2025-08-26 07:31:52,30.00s,649,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-data/2025/08/26/01/FTD/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-compressed-buffered-1-2025-08-26-07-16-06-eee770b7-e850-3ea2-a46c-020230358e3f.json.gz,2025-08-26 07:35:54,2.55m,110,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-data/2025/08/23/17/FTD/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-compressed-buffered-1-2025-08-26-07-17-32-7539f337-f93c-3ce5-9659-d467b61679d5.json.gz,2025-08-26 07:36:02,0.00s,1
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/14/02/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-16-29-c7338537-32c7-3dd3-8bda-348bc5a57ebd.json.gz,2025-08-26 07:31:59,0.00s,2,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/ASA/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-08-c6b338ca-9949-30b6-b742-c0732cbd0183.json.gz,2025-08-26 07:36:30,1.00s,56442,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-data/2025/08/25/12/FTD/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-compressed-buffered-1-2025-08-26-07-12-26-57e07258-8240-3dac-b701-231b994e5285.json.gz,2025-08-26 07:31:22,35.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-data/2025/08/26/06/FTD/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-compressed-1-2025-08-26-07-25-51-287e73cd-cbff-3345-b739-c51a9a0d0ca4.json.gz,2025-08-26 07:33:21,1.23m,29644,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-data/2025/08/24/01/FTD/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-compressed-buffered-1-2025-08-26-07-16-54-0e9afa59-eef3-334b-ad78-36c7b0f2471c.json.gz,2025-08-26 07:36:02,0.00s,1
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/25/11/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-12-19-88a3f3b3-bebd-3ec4-ab72-a111426a6002.json.gz,2025-08-26 07:31:59,0.00s,340,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-24bc9fcc-c006-3ac6-a6b6-eff637361966.json.gz,2025-08-26 07:36:29,13.00s,15200,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-data/2025/08/26/07/FTD/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-compressed-2-2025-08-26-07-29-12-c7bb49a6-e96f-30a8-91c5-daa57a893ae8.json.gz,2025-08-26 07:30:47,1.00s,110516,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-data/2025/08/26/07/FTD/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-compressed-1-2025-08-26-07-24-38-00d42c79-161e-36e0-ac37-d0f2baae4194.json.gz,2025-08-26 07:32:07,3.00s,405619,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-data/2025/08/24/04/FTD/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-compressed-buffered-1-2025-08-26-07-18-55-f312c330-6f1e-3a43-891e-901f78f2df75.json.gz,2025-08-26 07:36:02,0.00s,1
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/25/12/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-12-19-1c79108e-6c89-3c80-a585-0df1a5ae0055.json.gz,2025-08-26 07:31:59,0.00s,317,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/06/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-buffered-1-2025-08-26-07-33-17-68f28c18-ee92-3b40-bf00-e078fbe90c59.json.gz,2025-08-26 07:36:16,0.00s,77165,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-data/2025/08/26/06/FTD/eu-prod-7c216ec6-0040-46f7-a283-93670959b8c6-compressed-2-2025-08-26-07-29-12-d5ceb35a-98d2-3c15-942b-2d60b792cf51.json.gz,2025-08-26 07:30:46,1.00m,382,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-data/2025/08/26/07/FTD/eu-prod-fcd2c3b8-0b1e-4d76-b510-e16d2ef8efe5-compressed-1-2025-08-26-07-24-38-956992c3-9545-343b-a9c2-6e1af8d6c09d.json.gz,2025-08-26 07:32:04,2.00s,402305,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-data/2025/08/24/12/FTD/eu-prod-43ffe67c-5e0f-4682-b9c7-3e67f61ab537-compressed-buffered-1-2025-08-26-07-18-05-771ffe1b-f927-36a8-a8d4-dc8b74cfa6bf.json.gz,2025-08-26 07:36:02,0.00s,1
