CDO_eriks__s84cvj - 0de4e9b8-0724-454c-9c36-1499ab2aa0da,Processing Time UTC,Time Interval,Event Count,,,,,CDO_jnj_global_prod - d4614a6f-c912-456a-89a6-dd3250a6ee0e,Processing Time UTC,Time Interval,Event Count
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/11/01/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-16-22-8e0b0a21-3f81-35a5-987b-815a19fed3ba.json.gz,2025-08-26 07:35:46,1.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/ASA/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-08-4c385563-f4c5-3252-aced-1cb6741bfdd0.json.gz,2025-08-26 07:36:35,0.00s,164623
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/25/22/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-15-48-5d73cd91-6e07-38eb-b542-036ade640005.json.gz,2025-08-26 07:35:45,4.00s,1270,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-3e679b17-fd26-3de5-a49c-13945e2b68fb.json.gz,2025-08-26 07:36:35,0.00s,193171
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/25/21/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-15-48-971c2568-3669-3f32-97a4-0b7bd0540f4d.json.gz,2025-08-26 07:35:41,0.00s,1085,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-6961b843-c792-3db0-8c18-a95426c3afc4.json.gz,2025-08-26 07:36:35,3.00s,207445
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/26/04/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-15-48-044a53bf-636e-3bef-aa50-21c6f4b46975.json.gz,2025-08-26 07:35:41,0.00s,3674,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-1bc0bcf1-a2f5-3667-a20d-68e64b0bb8d7.json.gz,2025-08-26 07:36:32,1.00s,195117
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/26/05/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-15-48-e997e776-cbce-3c3f-98be-9b589ec3a2ba.json.gz,2025-08-26 07:35:41,1.00s,9103,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-6b81213c-eae9-3847-b08c-29b5ef0b1b1b.json.gz,2025-08-26 07:36:31,0.00s,212292
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/25/16/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-16-01-8b5c8a46-5a3a-3f6b-b538-ce3aef84ba5a.json.gz,2025-08-26 07:35:40,1.70m,491,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-a8b80983-a712-36d7-8f8c-31a5de822d12.json.gz,2025-08-26 07:36:31,0.00s,187262
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/26/06/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-1-2025-08-26-07-27-08-72529c84-4ac0-3cc7-9fc9-0285beaf959e.json.gz,2025-08-26 07:33:58,1.98m,9288,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-d500aabe-c951-3ef0-b4ba-30d32e786464.json.gz,2025-08-26 07:36:31,1.00s,183907
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/14/02/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-16-29-c7338537-32c7-3dd3-8bda-348bc5a57ebd.json.gz,2025-08-26 07:31:59,0.00s,2,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/ASA/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-08-c6b338ca-9949-30b6-b742-c0732cbd0183.json.gz,2025-08-26 07:36:30,1.00s,56442
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/25/11/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-12-19-88a3f3b3-bebd-3ec4-ab72-a111426a6002.json.gz,2025-08-26 07:31:59,0.00s,340,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/07/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-2-2025-08-26-07-34-31-24bc9fcc-c006-3ac6-a6b6-eff637361966.json.gz,2025-08-26 07:36:29,13.00s,15200
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-data/2025/08/25/12/FTD/eu-prod-0de4e9b8-0724-454c-9c36-1499ab2aa0da-compressed-buffered-1-2025-08-26-07-12-19-1c79108e-6c89-3c80-a585-0df1a5ae0055.json.gz,2025-08-26 07:31:59,0.00s,317,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-data/2025/08/26/06/FTD/eu-prod-d4614a6f-c912-456a-89a6-dd3250a6ee0e-compressed-buffered-1-2025-08-26-07-33-17-68f28c18-ee92-3b40-bf00-e078fbe90c59.json.gz,2025-08-26 07:36:16,0.00s,77165
