CDO_goldhofer - ce9eb70b-eef7-4470-ab9e-8974ff3837d5,Processing Time UTC,Time Interval,Event Count,,,,,CDO_israel_television_news_company_ltd - 6471a63b-911a-4732-9b12-627859a14a4b,Processing Time UTC,Time Interval,Event Count,,,,,CDO_kramer_electronics__s4ikgr - cf848168-4dcd-4403-8ca8-7f927bf99b87,Processing Time UTC,Time Interval,Event Count,,,,,CDO_the_salvation_army__saag40 - c43079b2-097a-4543-bfc9-ca7a95201c22,Processing Time UTC,Time Interval,Event Count,,,,,CDO_vf-gcp_teradata_de__sc2tra - c9e535a1-774d-4f8d-9343-eadcac11789a,Processing Time UTC,Time Interval,Event Count
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/07/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-21-25-03a56156-7bc2-30f4-9ffb-2db88096771e.json.gz,2025-08-26 07:39:39,3.77m,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/06/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-29-17-6527824a-1ae8-3763-a3d0-6021e35e76cc.json.gz,2025-08-26 07:36:12,1.02m,1830,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/07/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-33-01-db604999-bddc-323e-80a5-39d02b997603.json.gz,2025-08-26 07:40:29,5.07m,63424,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/07/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-32-21-f4a3f916-f7f7-326b-bbee-30d7611a4d1f.json.gz,2025-08-26 07:39:20,1.35m,113209,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-37-00-fee6773b-8262-378d-a7f2-c269518beea0.json.gz,2025-08-26 07:40:17,2.08m,8470
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/15/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-19-02-0e14a756-d873-31c0-ba45-c648acb52f8e.json.gz,2025-08-26 07:35:53,0.00s,25,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/25/23/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-buffered-1-2025-08-26-07-17-28-8da1f0a3-ae5c-35fb-ae64-f81379d7942c.json.gz,2025-08-26 07:35:11,1.00s,6,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/07/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-27-58-38f67656-d982-3216-a5d0-27ce9ec62e32.json.gz,2025-08-26 07:35:25,4.00s,49477,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/06/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-31-17-a12a9d1a-b90e-31c5-83d5-5dda1cf92472.json.gz,2025-08-26 07:37:59,1.93m,54,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-34-58-c71de898-111c-3c7a-bf0e-2e27f43a3c3f.json.gz,2025-08-26 07:38:12,2.00m,8103
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/05/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-16-00-267e370c-b5b8-357d-8594-2d339987b5bd.json.gz,2025-08-26 07:35:53,46.00s,1699,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/25/08/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-buffered-1-2025-08-26-07-17-56-a69aff5f-addf-3f14-a066-5052d80e855c.json.gz,2025-08-26 07:35:10,0.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/06/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-27-59-56f7dee7-1da7-3bd6-b52d-4edf72599824.json.gz,2025-08-26 07:35:21,22.00s,52,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/25/15/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-07-18-19-7c4b5a4a-89a0-3668-8306-cccb59c0b76b.json.gz,2025-08-26 07:36:03,2.00m,2,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-32-55-23dee6cd-25e3-3ceb-bc1e-fde37d291ec7.json.gz,2025-08-26 07:36:12,3.08m,9419
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/07/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-1-2025-08-26-07-28-09-514f5adf-fa46-3c2b-9646-862e05256021.json.gz,2025-08-26 07:35:07,1.65m,35004,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/02/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-buffered-1-2025-08-26-07-15-13-924842ad-b2d4-3ef8-bd80-a1c930c7a9e5.json.gz,2025-08-26 07:35:10,13.00s,16,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/25/20/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-buffered-1-2025-08-26-07-15-02-5bed14e7-cbe1-37f3-8398-fa6adb31cee9.json.gz,2025-08-26 07:34:59,1.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/07/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-26-57-65563bf7-756e-3fbc-9afe-eef515f4085c.json.gz,2025-08-26 07:34:03,1.60m,90911,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/06/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-29-52-439d9e6f-3bfd-335c-900a-bbf07d41a51b.json.gz,2025-08-26 07:33:07,1.00s,23
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/06/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-1-2025-08-26-07-26-38-34d53223-1538-3cb9-a6f7-4496f46ee009.json.gz,2025-08-26 07:33:28,1.83m,10887,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/07/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-27-57-6f273f45-50b1-3604-88f0-6d8004ee7aa7.json.gz,2025-08-26 07:34:57,4.43m,85749,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/25/07/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-buffered-1-2025-08-26-07-15-03-b219fa75-22a7-39e8-80d8-d243adb7e3d3.json.gz,2025-08-26 07:34:58,4.90m,2,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/06/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-25-27-11525563-5448-34e4-8aab-0b4415ec1b74.json.gz,2025-08-26 07:32:27,54.00s,447,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-29-52-cfaa221a-002a-3c6b-876a-3f5c6912bc98.json.gz,2025-08-26 07:33:06,1.92m,14468
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/18/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-14-05-206bf492-3d36-33a5-a6d5-e9cb1fd21014.json.gz,2025-08-26 07:31:38,3.00s,7,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/06/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-23-28-a532dbbd-395b-3d27-80f1-f0ed74793a50.json.gz,2025-08-26 07:30:31,1.40m,5608,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/07/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-22-37-e9a05ea8-a752-3a59-ba3f-063333acc114.json.gz,2025-08-26 07:30:04,1.73m,48849,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/21/17/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-07-14-59-68f75355-30c2-31d7-a2b8-c6a8763c21c7.json.gz,2025-08-26 07:31:33,4.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-27-52-4637aa8f-d97e-3510-9969-9c6c2c8a4963.json.gz,2025-08-26 07:31:11,4.00s,10107
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/02/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-12-26-9f05d41c-a557-3711-95b1-5b4912df92d2.json.gz,2025-08-26 07:31:35,0.00s,3,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/07/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-22-05-e677fe6b-abbd-3e22-9640-85f89e6137b5.json.gz,2025-08-26 07:29:07,4.28m,78587,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/06/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-20-58-c994322b-96cc-3f0d-bca1-f261b2431019.json.gz,2025-08-26 07:28:20,2.88m,45,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/02/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-07-15-17-f908134a-8885-3593-98bc-9c35dbbb2bd6.json.gz,2025-08-26 07:31:29,3.10m,2,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/06/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-27-52-a267085f-5cdd-3178-b700-8d6581086b2a.json.gz,2025-08-26 07:31:07,2.00m,25
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/03/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-12-28-4b1e89f6-3dcb-36f4-a1f0-e6209e6590dc.json.gz,2025-08-26 07:31:35,2.55m,13,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/06/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-17-27-90a2c260-cede-3635-829f-fe941f47092b.json.gz,2025-08-26 07:24:50,2.00s,5277,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/05/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-buffered-1-2025-08-26-07-05-29-c6e89702-308a-390f-88e3-b6e7bba31b1e.json.gz,2025-08-26 07:25:27,1.80m,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/07/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-21-20-03b62336-b576-3dcd-9fd5-178243a47020.json.gz,2025-08-26 07:28:23,1.38m,89183,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/06/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-25-50-8b0e2ec3-a79c-319d-b3db-429cdb77c5a5.json.gz,2025-08-26 07:29:07,2.00s,23
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/07/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-1-2025-08-26-07-22-08-f0e3387e-ca8c-375a-8868-c216b544a0b5.json.gz,2025-08-26 07:29:02,1.25m,39410,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/05/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-buffered-1-2025-08-26-07-04-52-fd98372c-9afb-3341-8e14-1b4592f7114a.json.gz,2025-08-26 07:24:48,1.38m,7,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/07/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-16-14-0dd6bd35-6d89-321d-a2b1-c33f4b6d8440.json.gz,2025-08-26 07:23:39,1.55m,63206,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/06/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-19-57-db26ae71-6d04-3446-9752-19268d749424.json.gz,2025-08-26 07:27:00,12.00s,395,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-25-50-449b4d8c-545f-3d4a-9c46-41b154196620.json.gz,2025-08-26 07:29:05,1.97m,9234
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/14/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-08-42-0a377093-620c-3deb-8982-27e3f382fa38.json.gz,2025-08-26 07:27:47,0.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/07/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-16-06-7381e065-731e-3d9b-990f-8790a0054482.json.gz,2025-08-26 07:23:25,4.25m,83103,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/06/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-15-03-1459ea72-3d49-3476-8a2a-5636b058e131.json.gz,2025-08-26 07:22:06,3.90m,63,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/25/16/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-07-08-41-435fd5f7-493c-3ece-8e1f-5532f8d7c1a4.json.gz,2025-08-26 07:26:48,1.00s,3,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/06/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-23-50-af7f0299-57d4-3cc1-a6a3-614565ea6c4c.json.gz,2025-08-26 07:27:07,1.00s,22
