CDO_amari_metals_ltd__sytzwr - 65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d,Processing Time UTC,Time Interval,Event Count,,,,,CDO_dfds - b75ee6bf-999f-41dc-a002-a1a9009d2ad6,Processing Time UTC,Time Interval,Event Count,,,,,CDO_lolland_kommune - 7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7,Processing Time UTC,Time Interval,Event Count,,,,,CDO_trusteddata - 040f6579-8ce0-4cd7-bb56-fc5f816a02da,Processing Time UTC,Time Interval,Event Count,,,,,CDO_vibracoustic__somqf0 - d4fba51f-d37e-4c69-be57-309e31d0d320,Processing Time UTC,Time Interval,Event Count
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-30-37-74bd7f23-45b8-312e-af64-04b434e5a8b7.json.gz,2025-08-26 07:38:03,1.95m,3887,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-32-02-aa512a5c-5697-34dd-bc52-920cad4a445e.json.gz,2025-08-26 07:39:10,3.67m,67857,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-data/2025/08/26/07/FTD/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-compressed-1-2025-08-26-07-30-53-a52f091f-611b-3482-a15a-a58792563ead.json.gz,2025-08-26 07:38:19,7.10m,4943,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-data/2025/08/26/07/FTD/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-compressed-1-2025-08-26-07-35-31-12b0bd40-6dc4-38a9-8ccf-c97f5a4d9657.json.gz,2025-08-26 07:42:54,6.27m,55,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-data/2025/08/26/07/FTD/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-compressed-1-2025-08-26-07-36-08-38ede7d8-17ec-3520-8bbc-373e2574345f.json.gz,2025-08-26 07:43:37,6.10m,7634
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-29-37-4e0039fc-725a-3d33-b72c-b1637ef1993f.json.gz,2025-08-26 07:36:06,4.07m,7,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-28-26-cd6abf40-4f93-3767-9c69-984af15159ea.json.gz,2025-08-26 07:35:30,1.00m,60,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-data/2025/08/26/06/FTD/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-compressed-1-2025-08-26-07-24-49-a04cae6b-35a9-3f28-9472-96ab13421d61.json.gz,2025-08-26 07:31:13,0.00s,3,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-data/2025/08/26/07/FTD/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-compressed-1-2025-08-26-07-29-10-bb1706ce-170a-336a-9746-0bf4dc6bf4f3.json.gz,2025-08-26 07:36:38,3.00s,346,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-data/2025/08/26/06/FTD/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-compressed-1-2025-08-26-07-30-07-32af3bcb-61e3-3a7d-9937-2ce7573cd6b1.json.gz,2025-08-26 07:37:31,0.00s,3
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-24-37-40df3406-828c-3e3f-ad37-c8a3f974da56.json.gz,2025-08-26 07:32:02,6.00m,4405,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-buffered-1-2025-08-26-07-14-36-f8f3c229-779c-3a27-84ae-a00af3dfa53f.json.gz,2025-08-26 07:34:30,42.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-data/2025/08/26/07/FTD/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-compressed-1-2025-08-26-07-23-46-a251a264-8418-387a-8789-b1707043cfdf.json.gz,2025-08-26 07:31:13,47.00s,1166,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-data/2025/08/26/06/FTD/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-compressed-1-2025-08-26-07-29-10-95a8d77b-4b05-3c56-b288-d63cdf2279d6.json.gz,2025-08-26 07:36:35,6.72m,8,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-data/2025/08/26/07/FTD/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-compressed-1-2025-08-26-07-30-07-8e2f4374-20de-3bcb-87fc-6648fb6d03b4.json.gz,2025-08-26 07:37:31,5.90m,10710
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-18-38-76422b4e-faac-375a-85c4-158eef9c51fd.json.gz,2025-08-26 07:26:02,4.02m,5155,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-26-39-8a00cbcc-8c1a-3476-a15c-23bfdd678e3a.json.gz,2025-08-26 07:33:48,3.58m,60919,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-data/2025/08/26/05/FTD/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-compressed-buffered-1-2025-08-26-07-10-33-b0d51a4d-88b8-3c97-948d-e6a3d6b62d7e.json.gz,2025-08-26 07:30:26,5.45m,4,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-data/2025/08/26/06/FTD/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-compressed-1-2025-08-26-07-22-20-1b556a64-3b0c-3881-b036-56f6d54e6d4f.json.gz,2025-08-26 07:29:52,5.00s,17,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-data/2025/08/26/06/FTD/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-compressed-1-2025-08-26-07-24-11-6473d5db-0b25-3d16-94ef-2d9d89bf7e63.json.gz,2025-08-26 07:31:37,1.00s,17
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-15-38-35360ba9-668f-3c6a-80c7-5356c29379e7.json.gz,2025-08-26 07:22:01,1.93m,4,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-23-13-1995dda7-f825-3a8d-b7de-6c070e05dc7f.json.gz,2025-08-26 07:30:13,1.65m,77,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-data/2025/08/26/07/FTD/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-compressed-1-2025-08-26-07-17-34-a28cb537-85c1-38f2-8f85-b967282d44ff.json.gz,2025-08-26 07:24:59,3.68m,995,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-data/2025/08/26/07/FTD/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-compressed-1-2025-08-26-07-22-20-1da972c0-1905-3dce-80c0-a80a3333e645.json.gz,2025-08-26 07:29:47,6.58m,174,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-data/2025/08/26/07/FTD/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-compressed-1-2025-08-26-07-24-11-30ce245a-14b4-30d3-98b7-194d6ec59ab3.json.gz,2025-08-26 07:31:36,5.92m,6380
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-12-38-fef73a44-697b-3d1e-8665-9457abc9b8c1.json.gz,2025-08-26 07:20:05,6.00m,6465,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-21-28-5140d4b2-38df-3ec2-86c5-3e0806860ddc.json.gz,2025-08-26 07:28:34,3.52m,61363,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-data/2025/08/26/03/FTD/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-compressed-buffered-1-2025-08-26-07-01-26-95764337-4ab9-33f3-a3b3-74c7dd3cc79f.json.gz,2025-08-26 07:21:18,18.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-data/2025/08/26/07/FTD/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-compressed-1-2025-08-26-07-15-44-88fd9191-c99a-30d7-ad29-ebbe4a02274d.json.gz,2025-08-26 07:23:12,4.00s,276,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-data/2025/08/26/07/FTD/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-compressed-1-2025-08-26-07-18-13-74104295-efb4-3ad8-af1a-a5474aed6b02.json.gz,2025-08-26 07:25:41,1.00s,7353
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-06-38-93473dcd-4346-3d49-a0e9-38eabcba15ec.json.gz,2025-08-26 07:14:05,1.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-18-06-53a10748-cf9b-3bb2-b13a-0486570ec225.json.gz,2025-08-26 07:25:03,1.67m,113,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-data/2025/08/26/06/FTD/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-compressed-1-2025-08-26-07-14-32-b14e9112-740a-354a-b8bc-3d88bae60405.json.gz,2025-08-26 07:21:00,2.02m,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-data/2025/08/26/06/FTD/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-compressed-1-2025-08-26-07-15-44-ddfe4b06-0d78-317a-8d2b-8cbb5feaff52.json.gz,2025-08-26 07:23:08,5.75m,18,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-data/2025/08/26/06/FTD/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-compressed-1-2025-08-26-07-18-13-ffd67747-ccf8-3338-9a20-ebf752711bba.json.gz,2025-08-26 07:25:40,6.03m,16
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-06-38-cc77c4ac-3e3e-36a0-b752-e90bd5427b75.json.gz,2025-08-26 07:14:04,5.48m,6352,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-16-20-f9995336-65e9-3329-b210-77b67729d596.json.gz,2025-08-26 07:23:23,3.45m,60284,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-data/2025/08/26/07/FTD/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-compressed-1-2025-08-26-07-11-32-e8a150f3-e16c-348e-9eeb-d274d661f4b6.json.gz,2025-08-26 07:18:59,3.60m,2184,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-data/2025/08/26/06/FTD/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-compressed-1-2025-08-26-07-09-56-9bdbeaba-1320-3e7a-8a45-99a3601404e5.json.gz,2025-08-26 07:17:23,3.00s,16,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-data/2025/08/26/07/FTD/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-compressed-1-2025-08-26-07-12-11-79cd3263-f5c5-3d44-a563-bb5e5c67f3e1.json.gz,2025-08-26 07:19:38,3.00s,6092
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/25/21/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-buffered-1-2025-08-26-06-48-37-4e3ee21f-7d2b-3e41-b988-e5b80107baf0.json.gz,2025-08-26 07:08:35,22.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-12-46-82f568e2-ebd4-3f36-bbdf-04d04c58051b.json.gz,2025-08-26 07:19:56,1.87m,118,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-data/2025/08/26/04/FTD/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-compressed-buffered-1-2025-08-26-06-57-25-5b0b45bb-8af6-34a6-8cbd-f23e59330842.json.gz,2025-08-26 07:15:23,26.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-data/2025/08/26/07/FTD/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-compressed-1-2025-08-26-07-09-56-e0292361-bb0a-379c-9d14-818f9f003777.json.gz,2025-08-26 07:17:20,6.30m,127,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-data/2025/08/26/06/FTD/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-compressed-1-2025-08-26-07-12-11-3f33e7b6-b1e8-3e51-813f-d7fd2b8eeeb8.json.gz,2025-08-26 07:19:35,5.33m,65
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-00-38-c8d1630c-c61b-3f18-a66a-5fe65c8d4d6f.json.gz,2025-08-26 07:08:13,9.00s,3773,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-10-59-458afbf3-37fd-3a25-8eaa-54ce88a8223f.json.gz,2025-08-26 07:18:04,3.40m,60641,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-data/2025/08/26/06/FTD/eu-prod-7a921b5d-72bf-4fcb-a6fb-e1e34de31ec7-compressed-1-2025-08-26-07-07-32-fe32d278-b762-37c6-a6dd-0cab16f20155.json.gz,2025-08-26 07:14:57,1.97m,6,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-data/2025/08/26/06/FTD/eu-prod-040f6579-8ce0-4cd7-bb56-fc5f816a02da-compressed-1-2025-08-26-07-03-35-fbc4546b-5ebe-3687-a0a1-cf06fc485a53.json.gz,2025-08-26 07:11:02,2.00s,17,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-data/2025/08/26/05/FTD/eu-prod-d4fba51f-d37e-4c69-be57-309e31d0d320-compressed-buffered-1-2025-08-26-06-54-20-8ae24cf9-5f05-38c4-93d3-841116cd5832.json.gz,2025-08-26 07:14:15,27.00s,10
