CDO_amari_metals_ltd__sytzwr - 65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d,Processing Time UTC,Time Interval,Event Count,,,,,CDO_dfds - b75ee6bf-999f-41dc-a002-a1a9009d2ad6,Processing Time UTC,Time Interval,Event Count
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-30-37-74bd7f23-45b8-312e-af64-04b434e5a8b7.json.gz,2025-08-26 07:38:03,1.95m,3887,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-32-02-aa512a5c-5697-34dd-bc52-920cad4a445e.json.gz,2025-08-26 07:39:10,3.67m,67857
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-29-37-4e0039fc-725a-3d33-b72c-b1637ef1993f.json.gz,2025-08-26 07:36:06,4.07m,7,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-28-26-cd6abf40-4f93-3767-9c69-984af15159ea.json.gz,2025-08-26 07:35:30,1.00m,60
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-24-37-40df3406-828c-3e3f-ad37-c8a3f974da56.json.gz,2025-08-26 07:32:02,6.00m,4405,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-buffered-1-2025-08-26-07-14-36-f8f3c229-779c-3a27-84ae-a00af3dfa53f.json.gz,2025-08-26 07:34:30,42.00s,1
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-18-38-76422b4e-faac-375a-85c4-158eef9c51fd.json.gz,2025-08-26 07:26:02,4.02m,5155,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-26-39-8a00cbcc-8c1a-3476-a15c-23bfdd678e3a.json.gz,2025-08-26 07:33:48,3.58m,60919
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-15-38-35360ba9-668f-3c6a-80c7-5356c29379e7.json.gz,2025-08-26 07:22:01,1.93m,4,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-23-13-1995dda7-f825-3a8d-b7de-6c070e05dc7f.json.gz,2025-08-26 07:30:13,1.65m,77
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-12-38-fef73a44-697b-3d1e-8665-9457abc9b8c1.json.gz,2025-08-26 07:20:05,6.00m,6465,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-21-28-5140d4b2-38df-3ec2-86c5-3e0806860ddc.json.gz,2025-08-26 07:28:34,3.52m,61363
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-06-38-93473dcd-4346-3d49-a0e9-38eabcba15ec.json.gz,2025-08-26 07:14:05,1.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-18-06-53a10748-cf9b-3bb2-b13a-0486570ec225.json.gz,2025-08-26 07:25:03,1.67m,113
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-06-38-cc77c4ac-3e3e-36a0-b752-e90bd5427b75.json.gz,2025-08-26 07:14:04,5.48m,6352,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-16-20-f9995336-65e9-3329-b210-77b67729d596.json.gz,2025-08-26 07:23:23,3.45m,60284
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/25/21/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-buffered-1-2025-08-26-06-48-37-4e3ee21f-7d2b-3e41-b988-e5b80107baf0.json.gz,2025-08-26 07:08:35,22.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-12-46-82f568e2-ebd4-3f36-bbdf-04d04c58051b.json.gz,2025-08-26 07:19:56,1.87m,118
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/07/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-00-38-c8d1630c-c61b-3f18-a66a-5fe65c8d4d6f.json.gz,2025-08-26 07:08:13,9.00s,3773,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-10-59-458afbf3-37fd-3a25-8eaa-54ce88a8223f.json.gz,2025-08-26 07:18:04,3.40m,60641
